order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,status,error
"(2,1,4)",2,1,4,n,n,4993.420384811163,5027.319167786832,6.384261517730911,40.758795126779795,OK,
"(3,1,4)",3,1,4,n,n,5001.108990365023,5039.85045662293,6.744070757578928,45.482490383231216,OK,
"(0,1,4)",0,1,4,n,n,5001.130139884955,5025.343556296147,6.535106471389402,42.707616592395645,OK,
"(0,2,4)",0,2,4,n,n,5001.303538499746,5025.511615882134,4.839995374077508,23.42555522109167,OK,
"(3,1,4)",3,1,4,t,t,5002.7891304543955,5046.373279994541,5.465044045728372,29.866706421751136,OK,
"(0,1,4)",0,1,4,t,t,5002.80162756093,5031.857727254361,5.3109351148129855,28.206031793753617,OK,
"(1,2,4)",1,2,4,n,n,5003.019017045484,5032.06870990435,4.836686878972379,23.393539965223567,OK,
"(1,1,4)",1,1,4,n,n,5003.0655071495485,5032.121606842979,6.491467748259999,42.13915352669974,OK,
"(5,1,0)",5,1,0,n,n,5003.110204260961,5032.166303954392,6.529911587030289,42.639745334432426,OK,
"(0,1,3)",0,1,3,n,n,5003.583810332904,5022.958810128929,6.636891504161197,44.04832883800707,OK,
"(5,0,0)",5,0,0,t,t,5003.886457407369,5037.792707050412,6.440481495227003,41.47980189036145,OK,
"(1,0,4)",1,0,4,t,t,5003.9101319342935,5037.816381577337,6.444056713790239,41.52586693054506,OK,
"(0,2,3)",0,2,3,n,n,5004.690207789651,5024.0609409186045,4.838694983333039,23.412969141732322,OK,
"(1,1,4)",1,1,4,t,t,5004.726769248266,5038.625552223934,5.269773640956479,27.7705142269197,OK,
"(5,1,0)",5,1,0,t,t,5004.78174434475,5038.680527320419,5.3079664360262955,28.17450768598169,OK,
"(2,2,4)",2,2,4,n,n,5005.10516329711,5038.996471632453,4.836752391385752,23.39417369557579,OK,
"(5,1,1)",5,1,1,n,n,5005.110065489014,5039.008848464683,6.531393667788025,42.659103243621516,OK,
"(0,1,3)",0,1,3,t,t,5005.250790677438,5029.469540422469,5.377051365993888,28.912681392536737,OK,
"(5,2,1)",5,2,1,n,n,5005.251836615443,5039.143144950785,4.838946862585514,23.415406738926194,OK,
"(4,1,0)",4,1,0,n,n,5005.438341588062,5029.657091333093,6.534445114987549,42.698972960784644,OK,
"(1,1,3)",1,1,3,n,n,5005.543291282258,5029.762041027289,6.631764118638311,43.980295325258574,OK,
"(5,1,3)",5,1,3,n,n,5005.673889878261,5049.258039418407,6.592417412056007,43.45996733477922,OK,
"(5,1,4)",5,1,4,n,n,5005.699048236331,5054.125881058715,6.731968313192724,45.319397369830895,OK,
"(5,0,1)",5,0,1,t,t,5005.899799397384,5044.649798989434,6.413594535232303,41.13419486236166,OK,
"(0,1,2)",0,1,2,n,n,5006.010631457291,5020.545077894916,6.595511776903781,43.50077559927647,OK,
"(2,0,4)",2,0,4,t,t,5006.274580604164,5045.024580196214,6.4557550166231294,41.6767728346547,OK,
"(4,0,0)",4,0,0,t,t,5006.3260130128665,5035.394905888116,6.34369521331677,40.2424689594581,OK,
"(1,0,3)",1,0,3,t,t,5006.339319473603,5035.408212348852,6.348053401340459,40.29778198627017,OK,
"(1,2,3)",1,2,3,n,n,5006.458690496757,5030.6721069079495,4.836034777879979,23.387232372864656,OK,
"(5,1,2)",5,1,2,n,n,5006.684813147042,5045.42627940495,6.534202174927737,42.69579806283037,OK,
"(2,1,4)",2,1,4,t,t,5006.723804806619,5045.465271064527,5.269095523299087,27.763367633650475,OK,
"(5,1,1)",5,1,1,t,t,5006.781496294421,5045.522962552329,5.308776827012689,28.18311139902692,OK,
"(5,2,2)",5,2,2,n,n,5006.888372204959,5045.6212960167795,4.839702935776336,23.422724506562087,OK,
"(5,0,0)",5,0,0,ct,ct,5006.920599782325,5045.670599374374,7.408130952829293,54.88040421426744,OK,
"(1,0,4)",1,0,4,ct,ct,5006.938736297298,5045.688735889348,7.407268569852067,54.867627665918285,OK,
"(4,1,0)",4,1,0,t,t,5007.111209807733,5036.173709501771,5.312583819497537,28.223546839187044,OK,
"(3,0,3)",3,0,3,t,t,5007.1606579000945,5045.9191817337605,12.039382749864384,144.94673699773207,OK,
"(1,1,3)",1,1,3,t,t,5007.212274199498,5036.274773893536,5.375309434401021,28.893951515560616,OK,
"(5,0,0)",5,0,0,n,n,5007.2989408517,5036.361440545737,5.385616845288484,29.004868804255082,OK,
"(5,0,0)",5,0,0,d,n,5007.2989408517,5036.361440545737,5.385616845288484,29.004868804255082,OK,
"(1,0,4)",1,0,4,n,n,5007.337613951375,5036.400113645413,5.3934563915651506,29.089371847714975,OK,
"(1,0,4)",1,0,4,d,n,5007.337613951375,5036.400113645413,5.3934563915651506,29.089371847714975,OK,
"(4,1,1)",4,1,1,n,n,5007.43792157605,5036.500421270088,6.532995447025954,42.680029510861836,OK,
"(2,1,3)",2,1,3,n,n,5007.600272700203,5036.662772394241,6.5911968941009045,43.44387649680541,OK,
"(0,1,2)",0,1,2,t,t,5007.690594894649,5027.069856811482,5.363084087280847,28.762670927245036,OK,
"(1,1,2)",1,1,2,n,n,5007.800694236126,5027.17995615296,6.549950486985451,42.90185138196095,OK,
"(5,0,2)",5,0,2,t,t,5007.824680017366,5051.418429558422,6.403423002088421,41.00382614367509,OK,
"(3,1,0)",3,1,0,n,n,5007.964006749235,5027.343268666068,6.633777908453899,44.00700933869099,OK,
"(0,2,2)",0,2,2,n,n,5007.9824976704385,5022.513747517457,4.834768471306055,23.37498617113509,OK,
"(3,0,4)",3,0,4,t,t,5008.088828543726,5051.682578084782,6.495811886875229,42.195572069669524,OK,
"(5,2,4)",5,2,4,n,n,5008.180460386499,5056.596615151275,4.822692240794473,23.258360449419214,OK,
"(3,2,4)",3,2,4,n,n,5008.192376917988,5046.925300729809,4.829832420759605,23.32728121262058,OK,
"(4,2,4)",4,2,4,n,n,5008.273988294728,5051.848527583026,4.84228684391898,23.44774187879083,OK,
"(2,2,3)",2,2,3,n,n,5008.29710179346,5037.353201486891,4.836124560150508,23.388100761290943,OK,
"(4,0,1)",4,0,1,t,t,5008.319018114875,5042.232726469332,6.343181185661697,40.23594755413254,OK,
"(2,0,3)",2,0,3,t,t,5008.367681823128,5042.281390177585,6.350696581822725,40.33134707437485,OK,
"(0,1,1)",0,1,1,n,n,5008.4200533954045,5018.1118131459325,6.5645836449168655,43.09375843111,OK,
"(4,1,4)",4,1,4,n,n,5008.559622163068,5052.143771703213,6.656646021784416,44.3109362593383,OK,
"(4,0,4)",4,0,4,t,t,5008.609438098295,5057.046937588358,6.717966649994895,45.13107591044363,OK,
"(4,2,1)",4,2,1,n,n,5008.634569512937,5037.690669206368,4.837891786420957,23.40519693711936,OK,
"(1,0,2)",1,0,2,t,t,5008.716520442666,5032.945919818986,6.4048254146830255,41.02178859256959,OK,
"(3,0,0)",3,0,0,t,t,5008.727549979581,5032.956949355902,6.417898138209813,41.18941651243698,OK,
"(5,0,0)",5,0,0,c,c,5008.871436266349,5042.777685909392,10.519375261182528,110.65725588557899,OK,
"(1,0,4)",1,0,4,c,c,5008.891194723661,5042.797444366704,10.528962539439915,110.85905215692901,OK,
"(2,0,4)",2,0,4,ct,ct,5008.931401043446,5052.525150584503,7.398040923147222,54.731009500560994,OK,
"(5,0,1)",5,0,1,ct,ct,5008.9429754961675,5052.536725037224,7.40922882091236,54.896671720638366,OK,
"(5,1,2)",5,1,2,t,t,5008.9589690619105,5052.543118602056,5.266867562685289,27.73989392286648,OK,
"(5,2,3)",5,2,3,n,n,5009.092953493079,5052.667492781377,4.837206356531071,23.398565335664593,OK,
"(4,1,1)",4,1,1,t,t,5009.110725009944,5043.016974652987,5.3112249745770885,28.209110730571393,OK,
"(5,1,3)",5,1,3,t,t,5009.196969956787,5057.6238027791715,5.0912001466475925,25.920318933224465,OK,
"(4,1,3)",4,1,3,n,n,5009.221027158341,5047.971026750391,6.49263160521455,42.154265161030864,OK,
"(5,0,1)",5,0,1,n,n,5009.299934443243,5043.206184086286,5.407695792098854,29.24317377988366,OK,
"(5,0,1)",5,0,1,d,n,5009.299934443243,5043.206184086286,5.407695792098854,29.24317377988366,OK,
"(3,1,3)",3,1,3,n,n,5009.419407565278,5043.325657208321,6.454921078013416,41.666006123381884,OK,
"(4,0,0)",4,0,0,ct,ct,5009.465167088688,5043.378875443145,7.467376781060835,55.76171599032648,OK,
"(1,0,3)",1,0,3,ct,ct,5009.470378691943,5043.3840870464,7.468952934440046,55.785257936880576,OK,
"(1,1,2)",1,1,2,t,t,5009.474831402651,5033.698908798692,5.320576610098856,28.308535463931033,OK,
"(2,1,3)",2,1,3,t,t,5009.537949712636,5043.444199355679,5.4597459903728645,29.80882627939257,OK,
"(3,2,3)",3,2,3,n,n,5009.582962306931,5043.4817452826,4.840724336090232,23.432612098016214,OK,
"(2,0,4)",2,0,4,n,n,5009.592976339348,5043.499225982391,5.316989442266619,28.270376729174693,OK,
"(2,0,4)",2,0,4,d,n,5009.592976339348,5043.499225982391,5.316989442266619,28.270376729174693,OK,
"(4,1,2)",4,1,2,n,n,5009.6229266290375,5043.529176272081,6.486691139697548,42.077161941830674,OK,
"(3,1,0)",3,1,0,t,t,5009.641298616621,5033.865376012662,5.39178617335611,29.07135813919412,OK,
"(2,1,2)",2,1,2,n,n,5009.681543341181,5033.905620737222,6.632733040636556,43.99314758835185,OK,
"(4,0,0)",4,0,0,n,n,5009.824386460418,5034.048463856459,5.459645918740396,29.807733558018665,OK,
"(4,0,0)",4,0,0,d,n,5009.824386460418,5034.048463856459,5.459645918740396,29.807733558018665,OK,
"(1,0,3)",1,0,3,n,n,5009.835333885731,5034.059411281773,5.47421927574691,29.967076678959028,OK,
"(1,0,3)",1,0,3,d,n,5009.835333885731,5034.059411281773,5.47421927574691,29.967076678959028,OK,
"(3,1,1)",3,1,1,n,n,5009.964992927096,5034.1890703231375,6.633730108192482,44.006375148339444,OK,
"(1,2,2)",1,2,2,n,n,5010.080356659205,5029.45535645523,4.843657981857572,23.461022645212566,OK,
"(0,1,1)",0,1,1,t,t,5010.112065248227,5024.649704874019,5.3572412752610905,28.70003408136107,OK,
"(4,1,4)",4,1,4,t,t,5010.21463903797,5058.641471860355,5.377669347068124,28.919327606396095,OK,
"(3,1,3)",3,1,3,t,t,5010.313718306691,5049.063717898741,5.33725126753512,28.48625109280524,OK,
"(4,2,2)",4,2,2,n,n,5010.3579170771445,5044.256700052813,4.837760979565862,23.403931295410043,OK,
"(1,1,1)",1,1,1,n,n,5010.381600278255,5024.919239904048,6.6278509951356375,43.92840881372046,OK,
"(2,1,0)",2,1,0,n,n,5010.406556337802,5024.944195963594,6.587378041569201,43.39354946254807,OK,
"(2,0,2)",2,0,2,t,t,5010.713820788337,5039.789100039921,6.395348320571394,40.900480141435345,OK,
"(5,0,2)",5,0,2,ct,ct,5010.803555873289,5059.241055363352,7.37052133094696,54.324584689944146,OK,
