order,p,d,q,trend_req,trend_used,AIC,RMSE_test,MSE_test,status,error
"(1,0,0)",1,0,0,t,t,2826.131529435797,2.4213478869946976,5.862925589853687,OK,
"(3,0,0)",3,0,0,t,t,2814.791259282949,2.4427393054408575,5.9669753143456825,OK,
"(3,0,1)",3,0,1,t,t,2816.468518002302,2.4570851715676563,6.037267540337658,OK,
"(1,0,2)",1,0,2,t,t,2815.286538770268,2.4579514190610294,6.041525178464128,OK,
"(2,0,2)",2,0,2,t,t,2817.458362761689,2.461146727482313,6.057243214196897,OK,
"(2,0,1)",2,0,1,t,t,2816.542920105522,2.469032442284956,6.096121201055616,OK,
"(2,0,0)",2,0,0,t,t,2815.409680614805,2.505424880298758,6.277153830820046,OK,
"(1,0,1)",1,0,1,t,t,2815.878486207933,2.5145513986622636,6.322968736514346,OK,
"(4,0,0)",4,0,0,t,t,2812.4603082445446,2.5363517073800637,6.4330799835297645,OK,
"(5,0,1)",5,0,1,t,t,2808.242220078415,2.6494927011744824,7.019811573576855,OK,
"(5,0,0)",5,0,0,t,t,2807.592913447389,2.743282646111461,7.5255996764563,OK,
"(4,0,1)",4,0,1,t,t,2812.4279525178326,2.7746543586786596,7.698706810134483,OK,
"(5,0,2)",5,0,2,t,t,2810.155815953408,2.7768148546584883,7.710700737052043,OK,
"(4,0,2)",4,0,2,t,t,2813.72162596168,2.780557481611252,7.731499908544308,OK,
"(3,0,2)",3,0,2,t,t,2821.3291322847444,3.7447448658545586,14.023114110344077,OK,
"(3,0,0)",3,0,0,n,n,2816.82903393543,3.992762395660214,15.94215154819829,OK,
"(3,0,0)",3,0,0,d,n,2816.82903393543,3.992762395660214,15.94215154819829,OK,
"(2,0,1)",2,0,1,n,n,2818.530557261459,3.9944666911389373,15.955764146618451,OK,
"(2,0,1)",2,0,1,d,n,2818.530557261459,3.9944666911389373,15.955764146618451,OK,
"(3,0,1)",3,0,1,n,n,2818.518744537153,3.994490663452937,15.955955660412684,OK,
"(3,0,1)",3,0,1,d,n,2818.518744537153,3.994490663452937,15.955955660412684,OK,
"(1,0,0)",1,0,0,n,n,2827.847636942542,3.9987713175767223,15.990172050274275,OK,
"(1,0,0)",1,0,0,d,n,2827.847636942542,3.9987713175767223,15.990172050274275,OK,
"(2,0,2)",2,0,2,n,n,2820.138956738737,4.0057947571360275,16.046391636298488,OK,
"(2,0,2)",2,0,2,d,n,2820.138956738737,4.0057947571360275,16.046391636298488,OK,
"(4,0,1)",4,0,1,n,n,2817.9841388420964,4.010520191086906,16.084272203115752,OK,
"(4,0,1)",4,0,1,d,n,2817.9841388420964,4.010520191086906,16.084272203115752,OK,
"(2,0,0)",2,0,0,n,n,2817.4806492920943,4.012099934223187,16.0969458821937,OK,
"(2,0,0)",2,0,0,d,n,2817.4806492920943,4.012099934223187,16.0969458821937,OK,
"(5,0,2)",5,0,2,n,n,2814.63811451351,4.014218323430704,16.113948748166813,OK,
"(5,0,2)",5,0,2,d,n,2814.63811451351,4.014218323430704,16.113948748166813,OK,
"(1,0,2)",1,0,2,n,n,2817.3800144527377,4.014411452784155,16.115499312244587,OK,
"(1,0,2)",1,0,2,d,n,2817.3800144527377,4.014411452784155,16.115499312244587,OK,
"(4,0,0)",4,0,0,n,n,2814.5863428128737,4.0158248197413124,16.126848982850344,OK,
"(4,0,0)",4,0,0,d,n,2814.5863428128737,4.0158248197413124,16.126848982850344,OK,
"(5,0,1)",5,0,1,n,n,2811.5219430886127,4.021561904660855,16.172960153019446,OK,
"(5,0,1)",5,0,1,d,n,2811.5219430886127,4.021561904660855,16.172960153019446,OK,
"(1,0,1)",1,0,1,n,n,2817.9866350345283,4.024022345076773,16.19275583367717,OK,
"(1,0,1)",1,0,1,d,n,2817.9866350345283,4.024022345076773,16.19275583367717,OK,
"(3,2,1)",3,2,1,n,n,2819.307112228091,4.039658171318221,16.318838141098073,OK,
"(5,0,0)",5,0,0,n,n,2809.432892040338,4.0506380008969884,16.407668214310753,OK,
"(5,0,0)",5,0,0,d,n,2809.432892040338,4.0506380008969884,16.407668214310753,OK,
"(4,2,2)",4,2,2,n,n,2813.8952229798897,4.056394796095098,16.454338741787396,OK,
"(5,2,2)",5,2,2,n,n,2813.006645550886,4.067365370286808,16.543461055408343,OK,
"(0,2,2)",0,2,2,n,n,2816.252463695717,4.080562609695194,16.650991211642452,OK,
"(1,2,1)",1,2,1,n,n,2819.5223626624384,4.085600150614801,16.692128590703682,OK,
"(5,2,1)",5,2,1,n,n,2813.3709485697636,4.086846960918146,16.702318081965892,OK,
"(4,2,1)",4,2,1,n,n,2814.1826113973852,4.091877759037836,16.743463594908505,OK,
"(2,2,1)",2,2,1,n,n,2821.1998670745284,4.0945521708376535,16.76535747971134,OK,
