order,p,d,q,trend_req,trend_used,AIC,RMSE_test,MSE_test,status,error
"(2,2,2)",2,2,2,n,n,4844.423028725763,11.138211581936922,124.05975724399377,OK,
"(1,2,1)",1,2,1,n,n,4845.448277571224,11.149747127201152,124.31686100053035,OK,
"(1,2,2)",1,2,2,n,n,4842.583869030899,11.156746979190725,124.47300315768136,OK,
"(0,2,2)",0,2,2,n,n,4841.9558890780445,11.157399244086005,124.48755789193096,OK,
"(0,2,1)",0,2,1,n,n,4844.625773927658,11.21900009493722,125.86596313020134,OK,
"(4,2,1)",4,2,1,n,n,4829.179149501812,11.265330985115574,126.90768220420503,OK,
"(4,0,2)",4,0,2,c,c,4836.557745078233,11.275656236386027,127.14042356115108,OK,
"(2,2,1)",2,2,1,n,n,4843.10337834679,11.286833531650533,127.39261117119085,OK,
"(5,2,2)",5,2,2,n,n,4828.333374734781,11.307826872009985,127.8669485673511,OK,
"(4,2,2)",4,2,2,n,n,4829.375862637276,11.313658135465138,127.99886040617649,OK,
"(5,2,1)",5,2,1,n,n,4826.552281568929,11.338668982919712,128.56541430422556,OK,
"(4,0,0)",4,0,0,c,c,4840.574744867913,11.349991366235894,128.82230401362935,OK,
"(3,2,1)",3,2,1,n,n,4839.281785985459,11.388647578978851,129.70129367818086,OK,
"(3,2,2)",3,2,2,n,n,4833.050105786917,11.421157120692262,130.44282997553955,OK,
"(1,0,2)",1,0,2,c,c,4843.006316914647,11.497031608473966,132.18173580624946,OK,
"(5,0,2)",5,0,2,ct,ct,4834.264000493835,11.500789425043417,132.26815739919047,OK,
"(5,0,2)",5,0,2,t,t,4832.304448965673,11.510893722410891,132.50067428863846,OK,
"(4,0,1)",4,0,1,ct,ct,4834.336042345036,11.53877510318473,133.14333088187578,OK,
"(5,0,1)",5,0,1,t,t,4825.095040759723,11.56177178350571,133.6745667738688,OK,
"(4,0,1)",4,0,1,t,t,4829.392554932811,11.564934660764846,133.7477137077601,OK,
"(3,0,0)",3,0,0,c,c,4844.611408031339,11.566711167645508,133.7888072357353,OK,
"(5,0,1)",5,0,1,c,c,4831.515491925307,11.570483732793024,133.876093810828,OK,
"(5,0,0)",5,0,0,t,t,4824.182737333043,11.572144365347283,133.91452521243886,OK,
"(5,0,0)",5,0,0,ct,ct,4826.183043046833,11.573037923761092,133.93520678481244,OK,
"(5,0,1)",5,0,1,ct,ct,4827.094781627705,11.578587256291776,134.0636828515623,OK,
"(3,0,2)",3,0,2,t,t,4837.468229126489,11.579212775443448,134.07816849899277,OK,
"(3,0,2)",3,0,2,ct,ct,4839.470517143585,11.579642544881656,134.08812146723332,OK,
"(1,0,2)",1,0,2,t,t,4836.719256854336,11.608170228205852,134.74961604700468,OK,
"(1,0,2)",1,0,2,ct,ct,4838.720884602339,11.60904553684054,134.76993827643727,OK,
"(2,0,2)",2,0,2,ct,ct,4841.124461748085,11.609202074389401,134.7735728040072,OK,
"(2,0,2)",2,0,2,t,t,4838.396991341135,11.61663998747754,134.94632459866222,OK,
"(3,0,0)",3,0,0,ct,ct,4840.256506213476,11.621197912017905,135.0522409102893,OK,
"(3,0,1)",3,0,1,ct,ct,4841.553384826446,11.623674753487336,135.10981477485888,OK,
"(4,0,0)",4,0,0,t,t,4834.717385153916,11.626317882427076,135.1712675032436,OK,
"(2,0,1)",2,0,1,ct,ct,4847.3148007716345,11.63168884337079,135.29618534899652,OK,
"(4,0,0)",4,0,0,ct,ct,4836.720589472163,11.640028848657805,135.49027159758592,OK,
"(3,0,1)",3,0,1,t,t,4843.238406669073,11.650499940435111,135.7341488620785,OK,
"(1,0,0)",1,0,0,t,t,4846.923940654435,11.658234026542702,135.9144206176381,OK,
"(2,0,1)",2,0,1,t,t,4847.025495182619,11.672234766665737,136.24106444816033,OK,
"(2,0,0)",2,0,0,t,t,4844.303794380698,11.67432979572556,136.2899761793656,OK,
"(1,0,0)",1,0,0,ct,ct,4848.9524225601635,11.6783109435433,136.3829464940832,OK,
"(1,0,1)",1,0,1,ct,ct,4846.409656545737,11.681437566771113,136.4559836263714,OK,
"(2,0,0)",2,0,0,ct,ct,4846.214473215288,11.689641154360988,136.6477103177301,OK,
"(5,0,0)",5,0,0,c,c,4830.816753896994,11.691016567720984,136.67986838672653,OK,
"(1,0,1)",1,0,1,t,t,4844.409407258937,11.695198750479951,136.7776738132278,OK,
"(3,0,0)",3,0,0,t,t,4838.2861899833815,11.739874171114712,137.82464555360636,OK,
"(1,0,0)",1,0,0,c,c,4853.521183015917,11.8079454370395,139.42757544410196,OK,
"(2,0,0)",2,0,0,c,c,4851.079485751941,12.044116695202902,145.0607469676653,OK,
"(2,0,1)",2,0,1,c,c,4851.934051910785,12.175733654044887,148.24849001424127,OK,
"(4,0,1)",4,0,1,n,n,4829.571236809137,12.534108202713664,157.10386843733397,OK,
"(4,0,1)",4,0,1,d,n,4829.571236809137,12.534108202713664,157.10386843733397,OK,
"(4,0,2)",4,0,2,n,n,4830.640975769546,12.564861663974854,157.87574863482496,OK,
"(4,0,2)",4,0,2,d,n,4830.640975769546,12.564861663974854,157.87574863482496,OK,
"(4,0,0)",4,0,0,n,n,4834.755990375742,12.632062130496147,159.56899366871485,OK,
"(4,0,0)",4,0,0,d,n,4834.755990375742,12.632062130496147,159.56899366871485,OK,
"(2,0,2)",2,0,2,n,n,4838.584917388572,12.707556847504096,161.48200103254823,OK,
"(2,0,2)",2,0,2,d,n,4838.584917388572,12.707556847504096,161.48200103254823,OK,
"(3,0,1)",3,0,1,n,n,4839.738585765125,12.752519244857476,162.62674709046027,OK,
"(3,0,1)",3,0,1,d,n,4839.738585765125,12.752519244857476,162.62674709046027,OK,
"(1,0,2)",1,0,2,n,n,4836.908315317817,12.771560476790766,163.11275701232398,OK,
"(1,0,2)",1,0,2,d,n,4836.908315317817,12.771560476790766,163.11275701232398,OK,
"(5,0,1)",5,0,1,n,n,4825.245137105079,12.807983700547235,164.04444647348362,OK,
"(5,0,1)",5,0,1,d,n,4825.245137105079,12.807983700547235,164.04444647348362,OK,
"(3,0,0)",3,0,0,n,n,4838.442686827351,12.876325877261923,165.79976809744502,OK,
