order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(5,1,0)",5,1,0,n,n,5003.110204260961,5032.166303954392,6.529911587030289,42.639745334432426,OK
"(5,1,0)",5,1,0,c,c,5003.110204260961,5032.166303954392,6.529911587030289,42.639745334432426,ERROR
"(5,0,0)",5,0,0,t,t,5003.886457407369,5037.792707050412,6.440481495227003,41.47980189036145,OK
"(5,1,0)",5,1,0,t,t,5004.78174434475,5038.680527320419,5.3079664360262955,28.17450768598169,OK
"(5,1,0)",5,1,0,ct,ct,5004.78174434475,5038.680527320419,5.3079664360262955,28.17450768598169,ERROR
"(5,1,0)",5,1,0,d,c,5004.78174434475,5038.680527320419,5.3079664360262955,28.17450768598169,ERROR
"(5,1,1)",5,1,1,n,n,5005.110065489014,5039.008848464683,6.531393667788025,42.659103243621516,OK
"(5,1,1)",5,1,1,c,c,5005.110065489014,5039.008848464683,6.531393667788025,42.659103243621516,ERROR
"(5,2,1)",5,2,1,n,n,5005.251836615443,5039.143144950785,4.838946862585514,23.415406738926194,OK
"(5,2,1)",5,2,1,c,c,5005.251836615443,5039.143144950785,4.838946862585514,23.415406738926194,ERROR
"(5,2,1)",5,2,1,t,t,5005.251836615443,5039.143144950785,4.838946862585514,23.415406738926194,ERROR
"(5,2,1)",5,2,1,ct,ct,5005.251836615443,5039.143144950785,4.838946862585514,23.415406738926194,ERROR
"(5,2,1)",5,2,1,d,c,5005.251836615443,5039.143144950785,4.838946862585514,23.415406738926194,ERROR
"(4,1,0)",4,1,0,n,n,5005.438341588062,5029.657091333093,6.534445114987549,42.698972960784644,OK
"(4,1,0)",4,1,0,c,c,5005.438341588062,5029.657091333093,6.534445114987549,42.698972960784644,ERROR
"(5,0,1)",5,0,1,t,t,5005.899799397384,5044.649798989434,6.413594535232303,41.13419486236166,OK
"(0,1,2)",0,1,2,n,n,5006.010631457291,5020.545077894916,6.595511776903781,43.50077559927647,OK
"(0,1,2)",0,1,2,c,c,5006.010631457291,5020.545077894916,6.595511776903781,43.50077559927647,ERROR
"(4,0,0)",4,0,0,t,t,5006.3260130128665,5035.394905888116,6.34369521331677,40.2424689594581,OK
"(5,1,2)",5,1,2,n,n,5006.684813147042,5045.42627940495,6.534202174927737,42.69579806283037,OK
"(5,1,2)",5,1,2,c,c,5006.684813147042,5045.42627940495,6.534202174927737,42.69579806283037,ERROR
"(5,1,1)",5,1,1,t,t,5006.781496294421,5045.522962552329,5.308776827012689,28.18311139902692,OK
"(5,1,1)",5,1,1,ct,ct,5006.781496294421,5045.522962552329,5.308776827012689,28.18311139902692,ERROR
"(5,1,1)",5,1,1,d,c,5006.781496294421,5045.522962552329,5.308776827012689,28.18311139902692,ERROR
"(5,2,2)",5,2,2,n,n,5006.888372204959,5045.6212960167795,4.839702935776336,23.422724506562087,OK
"(5,2,2)",5,2,2,c,c,5006.888372204959,5045.6212960167795,4.839702935776336,23.422724506562087,ERROR
"(5,2,2)",5,2,2,t,t,5006.888372204959,5045.6212960167795,4.839702935776336,23.422724506562087,ERROR
"(5,2,2)",5,2,2,ct,ct,5006.888372204959,5045.6212960167795,4.839702935776336,23.422724506562087,ERROR
"(5,2,2)",5,2,2,d,c,5006.888372204959,5045.6212960167795,4.839702935776336,23.422724506562087,ERROR
"(5,0,0)",5,0,0,ct,ct,5006.920599782325,5045.670599374374,7.408130952829293,54.88040421426744,OK
"(4,1,0)",4,1,0,t,t,5007.111209807733,5036.173709501771,5.312583819497537,28.223546839187044,OK
"(4,1,0)",4,1,0,ct,ct,5007.111209807733,5036.173709501771,5.312583819497537,28.223546839187044,ERROR
"(4,1,0)",4,1,0,d,c,5007.111209807733,5036.173709501771,5.312583819497537,28.223546839187044,ERROR
"(5,0,0)",5,0,0,n,n,5007.2989408517,5036.361440545737,5.385616845288484,29.004868804255082,OK
"(5,0,0)",5,0,0,d,n,5007.2989408517,5036.361440545737,5.385616845288484,29.004868804255082,OK
"(4,1,1)",4,1,1,n,n,5007.43792157605,5036.500421270088,6.532995447025954,42.680029510861836,OK
"(4,1,1)",4,1,1,c,c,5007.43792157605,5036.500421270088,6.532995447025954,42.680029510861836,ERROR
"(0,1,2)",0,1,2,t,t,5007.690594894649,5027.069856811482,5.363084087280847,28.762670927245036,OK
"(0,1,2)",0,1,2,ct,ct,5007.690594894649,5027.069856811482,5.363084087280847,28.762670927245036,ERROR
"(0,1,2)",0,1,2,d,c,5007.690594894649,5027.069856811482,5.363084087280847,28.762670927245036,ERROR
"(1,1,2)",1,1,2,n,n,5007.800694236126,5027.17995615296,6.549950486985451,42.90185138196095,OK
"(1,1,2)",1,1,2,c,c,5007.800694236126,5027.17995615296,6.549950486985451,42.90185138196095,ERROR
"(5,0,2)",5,0,2,t,t,5007.824680017366,5051.418429558422,6.403423002088421,41.00382614367509,OK
"(3,1,0)",3,1,0,n,n,5007.964006749235,5027.343268666068,6.633777908453899,44.00700933869099,OK
"(3,1,0)",3,1,0,c,c,5007.964006749235,5027.343268666068,6.633777908453899,44.00700933869099,ERROR
"(0,2,2)",0,2,2,n,n,5007.9824976704385,5022.513747517457,4.834768471306055,23.37498617113509,OK
"(0,2,2)",0,2,2,c,c,5007.9824976704385,5022.513747517457,4.834768471306055,23.37498617113509,ERROR
"(0,2,2)",0,2,2,t,t,5007.9824976704385,5022.513747517457,4.834768471306055,23.37498617113509,ERROR
"(0,2,2)",0,2,2,ct,ct,5007.9824976704385,5022.513747517457,4.834768471306055,23.37498617113509,ERROR
"(0,2,2)",0,2,2,d,c,5007.9824976704385,5022.513747517457,4.834768471306055,23.37498617113509,ERROR
"(4,0,1)",4,0,1,t,t,5008.319018114875,5042.232726469332,6.343181185661697,40.23594755413254,OK
"(0,1,1)",0,1,1,n,n,5008.4200533954045,5018.1118131459325,6.5645836449168655,43.09375843111,OK
"(0,1,1)",0,1,1,c,c,5008.4200533954045,5018.1118131459325,6.5645836449168655,43.09375843111,ERROR
"(4,2,1)",4,2,1,n,n,5008.634569512937,5037.690669206368,4.837891786420957,23.40519693711936,OK
"(4,2,1)",4,2,1,c,c,5008.634569512937,5037.690669206368,4.837891786420957,23.40519693711936,ERROR
"(4,2,1)",4,2,1,t,t,5008.634569512937,5037.690669206368,4.837891786420957,23.40519693711936,ERROR
"(4,2,1)",4,2,1,ct,ct,5008.634569512937,5037.690669206368,4.837891786420957,23.40519693711936,ERROR
"(4,2,1)",4,2,1,d,c,5008.634569512937,5037.690669206368,4.837891786420957,23.40519693711936,ERROR
"(1,0,2)",1,0,2,t,t,5008.716520442666,5032.945919818986,6.4048254146830255,41.02178859256959,OK
"(3,0,0)",3,0,0,t,t,5008.727549979581,5032.956949355902,6.417898138209813,41.18941651243698,OK
"(5,0,0)",5,0,0,c,c,5008.871436266349,5042.777685909392,10.519375261182528,110.65725588557899,OK
"(5,0,1)",5,0,1,ct,ct,5008.9429754961675,5052.536725037224,7.40922882091236,54.896671720638366,OK
"(5,1,2)",5,1,2,t,t,5008.9589690619105,5052.543118602056,5.266867562685289,27.73989392286648,OK
"(5,1,2)",5,1,2,ct,ct,5008.9589690619105,5052.543118602056,5.266867562685289,27.73989392286648,ERROR
"(5,1,2)",5,1,2,d,c,5008.9589690619105,5052.543118602056,5.266867562685289,27.73989392286648,ERROR
