order,p,d,q,trend_req,trend_used,AIC,RMSE_test,MSE_test,error
"(4,0,1)",4,0,1,c,c,11950.409675874085,3016.853849467797,9101407.149048666,
"(4,0,0)",4,0,0,c,c,11948.394139833079,3017.265017181795,9103888.183909059,
"(3,0,2)",3,0,2,c,c,11967.36414071234,3017.283553781641,9104000.043921167,
"(5,0,1)",5,0,1,c,c,11935.501539570614,3017.350470693671,9104403.862995319,
"(2,0,2)",2,0,2,c,c,11965.364925063262,3017.4615303951036,9105074.08741436,
"(5,0,0)",5,0,0,c,c,11933.469561064849,3017.474225288522,9105150.700280568,
"(3,0,1)",3,0,1,c,c,11965.348589777443,3017.529497202091,9105484.266484704,
"(3,0,0)",3,0,0,c,c,11963.352048651992,3017.651699722001,9106221.78083508,
"(1,0,2)",1,0,2,c,c,11963.397993630817,3017.831080736376,9107304.431858484,
"(2,0,1)",2,0,1,c,c,11980.283119858195,3019.203421752142,9115589.301919842,
"(2,0,0)",2,0,0,c,c,11978.327496201297,3023.1497487134493,9139434.40314619,
"(1,0,1)",1,0,1,c,c,11978.437334117116,3026.7807400359015,9161401.64825228,
"(1,0,0)",1,0,0,c,c,11997.366194612576,3046.799298555077,9282985.965675708,
"(4,0,2)",4,0,2,c,c,12087.907638674295,3214.156470594711,10330801.81746585,
"(5,0,2)",5,0,2,c,c,12033.363397416426,3466.2482975772427,12014877.260457132,
"(4,0,2)",4,0,2,ct,ct,11945.9594902129,3758.6478988838467,14127434.027783955,
"(5,0,2)",5,0,2,ct,ct,11930.248757635236,3777.5569362565293,14269936.406659815,
"(0,0,2)",0,0,2,ct,ct,12904.196346882,4362.8579898830885,19034529.839886706,
"(2,2,0)",2,2,0,n,n,12144.824348383114,4422.879379274751,19561862.003613804,
"(2,2,0)",2,2,0,c,c,12144.824348383114,4422.879379274751,19561862.003613804,OK
"(2,2,0)",2,2,0,t,t,12144.824348383114,4422.879379274751,19561862.003613804,OK
"(2,2,0)",2,2,0,ct,ct,12144.824348383114,4422.879379274751,19561862.003613804,OK
"(2,2,0)",2,2,0,d,c,12144.824348383114,4422.879379274751,19561862.003613804,OK
"(0,0,1)",0,0,1,ct,ct,13643.917211612046,4447.016850815106,19775958.871433508,
"(0,0,0)",0,0,0,ct,ct,17817.693797875825,4539.714403431297,20609006.864721574,
"(2,1,2)",2,1,2,n,n,11948.577376121608,4797.937448596562,23020203.76064529,
"(2,1,2)",2,1,2,c,c,11948.577376121608,4797.937448596562,23020203.76064529,OK
"(1,0,0)",1,0,0,ct,ct,11989.85940947689,4804.106574106951,23079439.97537762,
"(0,1,0)",0,1,0,n,n,11977.261791357745,4824.421166368137,23275039.590500895,
"(0,1,0)",0,1,0,c,c,11977.261791357745,4824.421166368137,23275039.590500895,OK
"(5,1,1)",5,1,1,n,n,11916.473649568308,4825.112866153325,23281714.171118356,
"(5,1,1)",5,1,1,c,c,11916.473649568308,4825.112866153325,23281714.171118356,OK
"(3,1,1)",3,1,1,n,n,11947.108567334883,4828.926296811915,23318529.180041634,
"(3,1,1)",3,1,1,c,c,11947.108567334883,4828.926296811915,23318529.180041634,OK
"(3,1,0)",3,1,0,n,n,11945.104811912404,4829.102695122242,23320232.840036903,
