order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(5,1,2)",5,1,2,n,n,9697.955495149099,9736.705494741149,206.87375117878867,42796.748926783366,OK
"(5,1,2)",5,1,2,c,c,9697.955495149099,9736.705494741149,206.87375117878867,42796.748926783366,ERROR
"(5,1,2)",5,1,2,t,t,9698.326371796169,9741.920121337225,247.98834565279896,61498.21957961209,OK
"(5,1,2)",5,1,2,ct,ct,9698.326371796169,9741.920121337225,247.98834565279896,61498.21957961209,ERROR
"(5,1,2)",5,1,2,d,c,9698.326371796169,9741.920121337225,247.98834565279896,61498.21957961209,ERROR
"(5,2,1)",5,2,1,n,n,9703.685515738336,9737.584298714006,262.45994621334654,68885.22336631277,OK
"(5,2,1)",5,2,1,c,c,9703.685515738336,9737.584298714006,262.45994621334654,68885.22336631277,ERROR
"(5,2,1)",5,2,1,t,t,9703.685515738336,9737.584298714006,262.45994621334654,68885.22336631277,ERROR
"(5,2,1)",5,2,1,ct,ct,9703.685515738336,9737.584298714006,262.45994621334654,68885.22336631277,ERROR
"(5,2,1)",5,2,1,d,c,9703.685515738336,9737.584298714006,262.45994621334654,68885.22336631277,ERROR
"(5,1,0)",5,1,0,n,n,9704.618898941591,9733.681398635628,222.03695434586467,49300.40909518759,OK
"(5,1,0)",5,1,0,c,c,9704.618898941591,9733.681398635628,222.03695434586467,49300.40909518759,ERROR
"(5,2,2)",5,2,2,n,n,9704.690214162803,9743.43168042071,261.5337961964056,68399.92655290301,OK
"(5,2,2)",5,2,2,c,c,9704.690214162803,9743.43168042071,261.5337961964056,68399.92655290301,ERROR
"(5,2,2)",5,2,2,t,t,9704.690214162803,9743.43168042071,261.5337961964056,68399.92655290301,ERROR
"(5,2,2)",5,2,2,ct,ct,9704.690214162803,9743.43168042071,261.5337961964056,68399.92655290301,ERROR
"(5,2,2)",5,2,2,d,c,9704.690214162803,9743.43168042071,261.5337961964056,68399.92655290301,ERROR
"(5,1,1)",5,1,1,n,n,9705.74548112255,9739.651730765594,219.76218923860677,48295.41981894521,OK
"(5,1,1)",5,1,1,c,c,9705.74548112255,9739.651730765594,219.76218923860677,48295.41981894521,ERROR
"(5,1,0)",5,1,0,t,t,9705.818461274219,9739.724710917262,258.71506400504614,66933.48434313513,OK
"(5,1,0)",5,1,0,ct,ct,9705.818461274219,9739.724710917262,258.71506400504614,66933.48434313513,ERROR
